Coffee_Shop_Name,Review Title,Rating,Cat_Rate,Bool_HIGH,Tea_Rate,Service_Rate,Seating_Rate,Parking_Rate
,Birthday Treat,4,HIGH,1,0,0,0,0
,A delight!,4,HIGH,1,0,0,0,0
,"new and trendy, location can be problematic",4,HIGH,1,0,0,3,0
,The most Luxurious & Glamorous Hotel in London !!!,4,HIGH,1,0,0,0,0
,Beautiful Hotel with Great Service,5,HIGH,1,0,0,0,0
,"Stylish, well planned out rooms with excellent service",5,HIGH,1,0,0,0,0
,How thoughtful,5,HIGH,1,0,0,0,0
,Another level .,5,HIGH,1,0,0,0,0
,Luxurious Weekend in London,5,HIGH,1,0,0,0,0
,hotel level is fair to the rate of it.,5,HIGH,1,0,2,0,0
,Wonderful hotel,5,HIGH,1,0,0,0,0
,The Thrill is Gone,4,HIGH,1,0,0,0,0
,I hate to be an echo...,5,HIGH,1,0,1,0,0
,Hotel design avec service de qualité,5,HIGH,1,0,0,0,0
,A very enjoyable weekend in London,5,HIGH,1,0,0,0,0
,Da sconsigliare,5,HIGH,1,0,0,2,0
,Outstanding Experience,5,HIGH,1,0,2,0,0
,Klassisk engelsk stil i trevligt område,5,HIGH,1,0,2,0,0
,Just Perfect,5,HIGH,1,0,0,0,0
,Everything was sensational,5,HIGH,1,0,0,0,0
,Avoid this hotel!,5,HIGH,1,0,2,0,0
,A dream to stay!,5,HIGH,1,0,0,0,0
,"London, Up Close. But Just.",5,HIGH,1,0,0,0,0
,"Vriendelijk personeel, mooie locatie",5,HIGH,1,0,0,0,0
,Anniversary Games so where else would we stay?,5,HIGH,1,0,3,0,0
,Great place to stay!,5,HIGH,1,0,0,0,0
,"Boa localizacao, dono muito simpatico e atencioso",5,HIGH,1,0,2,0,0
,Fantastic Hotel and Service,5,HIGH,1,0,1,0,0
,Loved it !,5,HIGH,1,0,0,0,0
,What a location,5,HIGH,1,0,0,0,0
,Lovely welcoming hotel,1,LOW,0,0,1,-3,0
,"Excellent location, small room",5,HIGH,1,0,1,0,0
,Must Stay,5,HIGH,1,0,0,0,0
,"Disappointed, just wanted to relax with a beer.",5,HIGH,1,0,0,0,0
,Christmas party,5,HIGH,1,0,2,0,0
,Cake and cocktails from heaven,5,HIGH,1,0,0,0,0
,Jazz Bar,5,HIGH,1,0,2,0,0
,Superb!,5,HIGH,1,0,0,0,0
,March 2018 trip,5,HIGH,1,0,0,0,0
,Wonderful Hotel,5,HIGH,1,0,2,0,0
,Great location for a Hotel /Don't Bother to Eat HearUnless its Breakfast And Book A Table In Both Bars If Thats What Yo,5,HIGH,1,0,0,0,0
,Fabulous savoy,5,HIGH,1,0,0,1,0
,Great Mother and Daughter Trip,5,HIGH,1,0,0,0,0
,expensive but hughly enjoyable,2,LOW,0,0,0,0,0
,Best hotel in London,5,HIGH,1,0,2,2,0
,Preis-/Leistung und Lage top,5,HIGH,1,0,0,0,0
,shabby,5,HIGH,1,0,0,0,0
,Always A Pleasure,5,HIGH,1,0,0,0,0
,Post Cruise London,5,HIGH,1,0,3,0,1
,Fantastique,5,HIGH,1,0,0,0,0
,superb stay for less than 24 hours,5,HIGH,1,0,0,0,0
,Outstanding art hotel with a great location and wonderfully appointed rooms,5,HIGH,1,0,0,0,0
,Could have been great but NOPE!!,5,HIGH,1,0,2,0,0
,"Great value, great staff, great hotel!",5,HIGH,1,0,1,0,0
,Muy recomendable. Excelente ubicación.,5,HIGH,1,0,2,0,0
,Day one of three. Not a great welcome,5,HIGH,1,0,0,0,0
,Expensive but worth it!,5,HIGH,1,0,2,0,0
,"Fun, emotional and memorable New Years vacation",5,HIGH,1,0,0,0,0
,Outstanding customer service and experience,5,HIGH,1,0,2,0,0
,The staff is the best !!!,5,HIGH,1,0,0,0,0
,Great Location,5,HIGH,1,0,3,0,0
,We would stay here again and recommend it to others without hesitation.,5,HIGH,1,0,1,0,0
,Fabulous Hotel,5,HIGH,1,0,0,0,0
,A hotel that holds special memories....,5,HIGH,1,0,0,0,0
,Incorrect billing left a bitter aftertaste,5,HIGH,1,0,2,0,0
,The Savoy is still fabulous,5,HIGH,1,0,0,0,0
,A Most Excellent Stay,5,HIGH,1,0,0,0,0
,A lovely time at Mondrian,5,HIGH,1,0,1,0,0
,The Rembrandt Hotel,2,LOW,0,0,0,0,1
,Mandarin Again and happy,5,HIGH,1,0,0,0,0
,Exceptional Service,5,HIGH,1,0,1,0,0
,Amazing hotel great staff,5,HIGH,1,0,0,0,0
,Beautiful hotel but not helpful for business travelers,5,HIGH,1,0,1,0,0
,Paying for Savoy's mistake ??!!,5,HIGH,1,0,0,0,0
,Truly Luxurious ... A Perfect 10,5,HIGH,1,0,0,0,0
,home away from home....,5,HIGH,1,0,0,0,0
,Great place to stay in the City,5,HIGH,1,0,0,0,0
,Sheer Class,5,HIGH,1,0,0,0,0
,Pleasant stay,5,HIGH,1,0,2,0,0
,Very well thought out rooms,5,HIGH,1,0,0,0,0
,Excellent hotel,5,HIGH,1,0,0,0,0
,Over 15 times and always excellent,5,HIGH,1,0,2,0,2
,A luxurious day,5,HIGH,1,0,2,0,0
,Good value for money!,5,HIGH,1,0,3,0,0
,Tres bien situé,5,HIGH,1,0,0,0,0
,Exceptional - as always!,5,HIGH,1,0,0,0,0
,Eine echte Empfehlung in der Londoner City,5,HIGH,1,0,0,0,0
,Très bien situé mais ...,5,HIGH,1,0,0,0,0
,Good Day!,5,HIGH,1,0,0,0,0
